t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
12,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1015410.19,88.9390869,6604.87988,1026268.75,996764.25,7081.9292,1014325.69,1015410.19,1002958.88,4147.76514,1008100.06,1011394.56,-3165.25,0.018091321,1023710.25,3165.25,-14.5247192
13,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1016213.88,89.0547485,6205.04004,1026268.75,996764.25,7065.83545,1014833.69,1016213.88,1002958.88,4510.17139,1008679.62,1013036.62,333.875,0.0184242725,1024269,-333.875,-14.6198425
14,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017025.19,89.3635712,5959.76465,1026268.75,1002442.12,6475.00098,1016215.12,1017025.19,1003324,4687.15332,1009684.38,1014534.25,860.875,0.0192825794,1021103.75,-860.875,-18.7818527
15,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018110.94,90.3418427,5817.83496,1026268.75,1004557.69,6149.38281,1017606,1018110.94,1003864.69,4799.60498,1010740.5,1015410.19,2869.6875,0.0193606615,1021437.62,-2869.6875,-21.0424728
16,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018645.75,81.7466278,5745.771,1026268.75,1006633.69,5540.02344,1018659,1018645.75,1004554,4796.69189,1011796.38,1016213.88,-3046.3125,0.0146349669,1022298.5,3046.3125,-25.2359009
17,0,0,10000,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018308,68.0022202,6288.03711,1026268.75,1006633.69,4927.80811,1019164.62,1018645.75,1005374.56,4617.92334,1012778.81,1017025.19,-6009.3125,0.00701439381,1025168.19,6009.3125,-29.466095
18,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018871.38,73.1891251,6922.91846,1026924.88,1009895.19,4390.0835,1020009.31,1018871.38,1006331.31,4373.93701,1013742.81,1018110.94,6420.6875,0.0116995573,1022121.88,-6420.6875,-33.7364883
19,0,0,10000,0,1,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018504.88,62.325592,7170.61621,1026924.88,1010577.94,4038.90308,1020264.31,1018871.38,1007036,4008.91333,1014612.38,1018645.75,-6410.8125,0.00352799892,1016112.56,6410.8125,-36.5159607
20,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018217.69,62.5390816,6733.22852,1026924.88,1010577.94,3456.95361,1020602.5,1018871.38,1007926.75,3501.6875,1015411.06,1018308,228.5625,0.0046800375,1022533.25,-228.5625,-41.2662048
21,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017990.94,62.7044449,6436.79248,1026924.88,1011748.5,3117.02441,1020802.5,1018871.38,1009554.94,2866.94482,1016129.94,1018871.38,166.0625,0.00276255608,1016122.44,-166.0625,-44.3550529
22,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018694.94,68.7470474,6826.85645,1026924.88,1011748.5,3173.23779,1021026.31,1018871.38,1011394.56,2274.90381,1016782.81,1018504.88,6753.9375,0.00307118893,1016351,-6753.9375,-43.8536453
23,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019032.38,65.2966309,6487.4248,1026924.88,1011748.5,3108.4978,1020874.44,1019032.38,1013036.62,1779.10986,1017328.38,1018217.69,-2045.4375,-0.00207823515,1016517.06,2045.4375,-44.4310837
24,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020375.81,71.2790375,6937.43018,1031569.94,1011748.5,3712.40454,1021260,1020375.81,1014534.25,1496.03918,1017852.56,1017990.94,7882.4375,0.00527274609,1023271,-7882.4375,-39.2533913
25,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021127.75,66.4399109,7069.04688,1031956.06,1011748.5,3838.62061,1021384.88,1021127.75,1015410.19,1412.79675,1018323.56,1018694.94,-3092.5,0.00170516968,1021225.56,3092.5,-38.2286453
26,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021655.5,65.0113754,7469.53467,1031956.06,1011748.5,3953.10205,1021669.31,1021655.5,1016213.88,1408.44775,1018769.69,1019032.38,-929.4375,0.00390005112,1029108,929.4375,-37.3039093
27,0,0,10000,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1021684.62,60.1945801,7179.60791,1031956.06,1011748.5,3952.87402,1021700.44,1021684.62,1017025.19,1404.06372,1019160.5,1020375.81,-3212,0.000427246094,1026015.5,3212,-37.3087196
28,0,0,10000,0,1,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1020897.56,52.2820969,7747.60449,1031956.06,1011275.62,4229.08057,1021234.88,1021684.62,1017990.94,1335.9574,1019437.06,1021127.75,-6092.3125,-0.00637459755,1025086.06,6092.3125,-35.1028442
29,-1,1015273.81,9990.67188,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020264.94,52.6898613,7241.28467,1031956.06,1011275.62,4267.34961,1020590.94,1021684.62,1017990.94,1297.87036,1019591,1021655.5,370.9375,-0.0087941885,1021874.06,-370.9375,-34.8123856
30,-1,1015273.81,9987.37207,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1019806,53.4634781,6979.24658,1031956.06,1011275.62,4349.00098,1020212.44,1021684.62,1017990.94,1271.65332,1019673.88,1021684.62,670.0625,-0.005184412,1015781.75,-670.0625,-34.1962814
31,-1,1015273.81,10004.5078,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018944.31,48.9842262,6838.09521,1031956.06,1011275.62,4587.41455,1020014.62,1021684.62,1017990.94,1232.80518,1019719.31,1020897.56,-3479.4375,-0.00272536278,1016152.69,3479.4375,-32.4124222
32,-1,1015273.81,10003.6602,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018220.44,49.2106781,6567.61963,1031956.06,1011275.62,4815.97314,1019370.5,1021684.62,1017990.94,1275.44189,1019672.69,1020264.94,171.9375,-0.00881928205,1016822.75,-171.9375,-30.745018
33,-1,1015273.81,9989.64453,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1017972.56,52.9347725,6392.94141,1031956.06,1011275.62,4804.84619,1019387.5,1021684.62,1017972.56,1316.94836,1019634.69,1019806,2846.0625,0.000235080719,1013343.31,-2846.0625,-30.828598
34,-1,1015273.81,9962.05957,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018504.56,59.2652206,6387.08398,1031956.06,1011275.62,4768.74121,1019788.31,1021684.62,1017972.56,1296.81921,1019655.12,1018944.31,5601.1875,0.00552117825,1013515.25,-5601.1875,-31.0893555
35,-1,1015273.81,9967.06055,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1018830.25,57.7489319,6215.36816,1031956.06,1011275.62,4687.4624,1020104.62,1021684.62,1017972.56,1236.495,1019715.06,1018220.44,-1015.3125,0.00435817242,1016361.31,1015.3125,-31.6776352
36,-1,1015273.81,9951.18164,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1019542.44,61.1483574,6251.86865,1031956.06,1011275.62,4736.38721,1020169,1021684.62,1017972.56,1205.42297,1019775.62,1017972.56,3224.25,0.000880002975,1021962.5,-3224.25,-31.3158264
37,0,0,9943.61426,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020163.62,61.1794586,6204.69482,1031956.06,1011275.62,4844.56055,1020381.5,1021684.62,1017972.56,1190.71643,1019856.5,1018504.56,29.8125,0.00291383266,1020947.19,-29.8125,-70.3257294
38,0,0,9943.61426,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,1020734.12,61.4482651,6047.72119,1031956.06,1011275.62,4370.04492,1020048.38,1021684.62,1017972.56,1205.36548,1019882.06,1018830.25,241.125,-0.00453364849,1024171.44,-241.125,-34.0287933
39,0,0,9943.61426,0,0,1,0,0.0500000007,0.100000001,0.0799999982,0.5,1020897,57.060112,6108.89746,1031891.38,1011275.62,4090.19922,1019758.38,1021684.62,1017972.56,1189.69482,1019865.56,1019542.44,-2486.6875,-0.00395685434,1024201.25,2486.6875,-36.1803513
40,-1,1021444.69,9920.33203,0,0,0,1,0.0500000007,0.100000001,0.0799999982,0.5,1021471.62,60.9829369,6307.62354,1028031.19,1011275.62,4101.51855,1019767,1021684.62,1017972.56,1170.72559,1019852.44,1020163.62,3250.9375,0.000117659569,1024442.38,-3250.9375,-36.0879593
