t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
285,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.7312012
286,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,45.1129074
287,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,40.333107
288,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,42.3917694
289,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,43.4289284
290,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,41.0922012
291,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,45.5085831
292,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,46.5892067
293,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,50.3514481
294,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.4678116
295,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,47.3607101
296,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,48.6760864
297,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,45.2455444
298,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,47.5873489
299,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.484539
300,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,41.0024109
301,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,40.9716377
302,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,37.3186607
303,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,35.9491005
304,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,36.0241699
305,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,39.0762329
306,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,39.6580544
307,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.9526329
308,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,50.1863556
309,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.2963943
310,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,50.4968948
311,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.0313148
312,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,50.0125465
313,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.3278122
314,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,35.6734161
315,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,35.7580338
316,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,42.487751
317,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,46.9956551
318,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,53.4322968
319,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.4014244
320,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,44.4872093
321,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,43.6114807
322,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.9378738
323,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.0398674
324,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,54.6570892
325,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,48.2317657
326,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,45.0603867
327,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,48.9875526
328,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,50.8167152
329,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,45.8848839
330,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,42.0782814
331,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,42.7743874
332,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,39.2001343
333,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,36.4758835
334,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,30.714304
335,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,28.7726517
336,0,0,9942.81641,1,0,0,0,0.0299999993,0,0,0.75,31.7460098
337,1,934717.312,9914.67285,0,0,0,0,0.0299999993,0,0,0.75,30.4553394
338,1,934717.312,9884.73438,0,0,0,0,0.0299999993,0,0,0.75,28.2703972
339,1,934717.312,9867.16309,0,0,0,0,0.0299999993,0,0,0.75,27.0440159
340,1,934717.312,9863.93066,0,0,0,0,0.0299999993,0,0,0.75,26.8136082
341,1,934717.312,9810.04688,0,0,0,0,0.0299999993,0,0,0.75,23.2562218
